DATACODE,RECTYPE,RECYEAR,RECMONTH,RECDAY,WATERSHED,SOILTYPE,TRANSECT,PLOTNUM,LVGRASS,FORBS,CUYRDEAD,PRYRDEAD,WOODY,COMMENTS
PAB04,1,1984,9,15,n04d,tu,c,4,7.62,1.38,26.29,51.92,,
PAB04,1,1984,9,15,n04d,tu,c,5,13.16,2.72,16.67,48.34,,
PAB04,1,1984,9,15,n04d,tu,d,1,19.63,7.98,16.87,70.29,,
PAB04,1,1984,9,15,n04d,tu,d,2,8.03,6.09,6.86,97.98,,
PAB04,1,1984,9,15,n04d,tu,d,3,14.18,3,27.72,45.77,,
PAB04,1,1984,9,15,n04d,tu,d,4,4.69,51.92,5.71,55.08,,
PAB04,1,1984,9,15,n04d,tu,d,5,8,31.28,14.31,53.46,,
PAB04,1,1984,10,2,n01b,tu,a,1,3.47,5.19,11.81,60.68,,all live grass and
PAB04,1,1984,10,2,n01b,tu,a,2,13.49,19.82,25.17,23.24,,current year dead
PAB04,1,1984,10,2,n01b,tu,a,3,6.39,6.33,9.05,70.44,,should be combined
PAB04,1,1984,10,2,n01b,tu,a,4,4.89,12.38,11.31,45.68,,prior to analysis
PAB04,1,1984,10,2,n01b,tu,a,5,5.13,9.43,2.46,82.08,,due to mold
PAB04,1,1984,10,2,n01b,tu,b,1,8.41,13.11,31.72,59.86,,
PAB04,1,1984,10,2,n01b,tu,b,2,10.45,11.93,44.11,73.33,,
PAB04,1,1984,10,2,n01b,tu,b,3,8.78,9.72,7.99,60.67,,
PAB04,1,1984,10,2,n01b,tu,b,4,14.44,0.21,34.06,78.41,,
PAB04,1,1984,10,2,n01b,tu,b,5,4.42,7.52,19.27,65.37,,
PAB04,1,1984,10,2,n01b,tu,c,1,0.69,42.53,23.64,81.9,,
PAB04,1,1984,10,2,n01b,tu,c,2,60.15,1.84,,66.21,,
PAB04,1,1984,10,2,n01b,tu,c,3,6.14,3.54,20.29,112.23,,
PAB04,1,1984,10,2,n01b,tu,c,4,7.23,0.95,26.79,41.4,,
PAB04,1,1984,10,2,n01b,tu,c,5,4.54,9.41,15.51,65.78,,
PAB04,1,1984,10,2,n01b,tu,d,1,5,20,52.57,80.59,,
PAB04,1,1984,10,2,n01b,tu,d,2,1.94,20.64,59.9,78.97,,
PAB04,1,1984,10,2,n01b,tu,d,3,11.36,37.68,32.69,55.61,,
PAB04,1,1984,10,2,n01b,tu,d,4,6.09,5.89,18.74,73.11,,
PAB04,1,1984,10,2,n01b,tu,d,5,4.24,4.08,13.73,99.45,,
PAB04,1,1984,10,2,n01b,fl,a,1,12.14,6.47,23.47,98.13,,all live grass and
PAB04,1,1984,10,2,n01b,fl,a,2,19.68,4.57,,68.33,,current year dead
PAB04,1,1984,10,2,n01b,fl,a,3,3.56,14.07,28.13,42.97,,should be combined
PAB04,1,1984,10,2,n01b,fl,a,4,9.14,15.3,13.82,78.96,,prior to analysis
PAB04,1,1984,10,2,n01b,fl,a,5,2.81,33.94,6.2,82.78,,due to mold
PAB04,1,1984,10,2,n01b,fl,b,1,1.67,16.58,8.25,47.68,,
PAB04,1,1984,10,2,n01b,fl,b,2,5.18,13.77,11.07,51.85,,
PAB04,1,1984,10,2,n01b,fl,b,3,7.26,3.18,17.32,48.79,,
PAB04,1,1984,10,2,n01b,fl,b,4,7.54,60.33,19.63,27.7,,
PAB04,1,1984,10,2,n01b,fl,b,5,20.74,20.7,,69.45,,
PAB04,1,1984,10,2,n01b,fl,c,1,5.73,9.71,15.83,69.43,,
PAB04,1,1984,10,2,n01b,fl,c,2,3.98,20.3,8.72,105.46,,
PAB04,1,1984,10,2,n01b,fl,c,3,2.33,10.04,38.2,68.55,,
PAB04,1,1984,10,2,n01b,fl,c,4,6.09,1.32,27.3,81.57,,
PAB04,1,1984,10,2,n01b,fl,c,5,3.86,2.36,53.36,70.96,,
PAB04,1,1984,10,2,n01b,fl,d,1,2.48,8.36,16.67,58.11,,
PAB04,1,1984,10,2,n01b,fl,d,2,6.55,0.47,35.3,74.04,,
PAB04,1,1984,10,2,n01b,fl,d,3,10.16,3.2,31.12,54.18,,
PAB04,1,1984,10,2,n01b,fl,d,4,3.45,9.01,33.61,75,,
PAB04,1,1984,10,2,n01b,fl,d,5,6.89,4.24,32.1,40.24,,
PAB04,1,1984,9,29,n00b,fl,a,1,13.57,4.74,8.79,87.05,,
PAB04,1,1984,9,29,n00b,fl,a,2,6,15.62,7.54,98.18,,
PAB04,1,1984,9,29,n00b,fl,a,3,12.12,10.3,16.51,64.3,,
PAB04,1,1984,9,29,n00b,fl,a,4,3.57,19.56,13.62,63.56,,
PAB04,1,1984,9,29,n00b,fl,a,5,4.51,15.02,8.51,99.09,,
PAB04,1,1984,9,29,n00b,fl,b,1,9.1,7.13,9.73,53.39,,
PAB04,1,1984,9,29,n00b,fl,b,2,11.34,8.35,9.88,72.81,,
PAB04,1,1984,9,29,n00b,fl,b,3,13.57,2.32,9.68,78.88,,
PAB04,1,1984,9,29,n00b,fl,b,4,5.77,15.65,5.13,69.12,,
PAB04,1,1984,9,29,n00b,fl,b,5,8.01,15.4,5.34,21.88,,
PAB04,1,1984,9,29,n00b,fl,c,1,12.89,3.35,14.83,45.82,,
PAB04,1,1984,9,29,n00b,fl,c,2,7.69,17.32,15.25,41.33,,
PAB04,1,1984,9,29,n00b,fl,c,3,8.81,26.62,6.52,64.43,,
PAB04,1,1984,9,29,n00b,fl,c,4,11.24,0.01,12.13,61.97,,
PAB04,1,1984,9,29,n00b,fl,c,5,4.08,6.97,16.69,46.96,,
PAB04,1,1984,9,29,n00b,fl,d,1,10.15,0,8.78,97.77,,
PAB04,1,1984,9,29,n00b,fl,d,2,13.12,11.53,6.54,63.75,,
PAB04,1,1984,9,29,n00b,fl,d,3,16.54,5.09,24.46,63.75,,
PAB04,1,1984,9,29,n00b,fl,d,4,6.56,13.3,11.57,53.11,,
PAB04,1,1984,9,29,n00b,fl,d,5,10.63,6.77,10.44,65.72,,
PAB04,1,1984,10,2,n00b,tu,a,1,4.95,9.86,13.65,40.16,,
PAB04,1,1984,10,2,n00b,tu,a,2,7.84,6.2,17.71,55.99,,
PAB04,1,1984,10,2,n00b,tu,a,3,14.42,0,14.37,86.96,,
PAB04,1,1984,10,2,n00b,tu,a,4,9.46,7.48,8.98,58.63,,
PAB04,1,1984,10,2,n00b,tu,a,5,6.08,9.05,4.8,38.86,,
PAB04,1,1984,10,2,n00b,tu,b,1,10.22,7.43,15.41,101.29,,
PAB04,1,1984,10,2,n00b,tu,b,2,5.63,18.2,4.28,57.37,,
PAB04,1,1984,10,2,n00b,tu,b,3,19.19,12.48,18.09,64.79,,
PAB04,1,1984,10,2,n00b,tu,b,4,3.33,30,11.99,78.8,,
PAB04,1,1984,10,2,n00b,tu,b,5,13.21,7.28,22.76,86.54,,
PAB04,1,1984,10,2,n00b,tu,c,1,5.73,4.74,14.44,44.56,,
PAB04,1,1984,10,2,n00b,tu,c,2,15.18,11.67,29,76.86,,
PAB04,1,1984,10,2,n00b,tu,c,3,16.44,4.73,13.81,64.26,,
PAB04,1,1984,10,2,n00b,tu,c,4,10.89,4.07,14.14,59.61,,
PAB04,1,1984,10,2,n00b,tu,c,5,9.51,0.47,39.49,52.02,,
PAB04,1,1984,10,2,n00b,tu,d,1,10.22,4.27,7.86,55.64,,
PAB04,1,1984,10,2,n00b,tu,d,2,14.42,0.18,18.31,36.66,,
PAB04,1,1984,10,2,n00b,tu,d,3,19.73,5.35,15.33,57.15,,
PAB04,1,1984,10,2,n00b,tu,d,4,27.37,5.31,18.65,38.65,,
PAB04,1,1984,10,2,n00b,tu,d,5,14.6,1.36,30.51,35.43,,
PAB04,1,1985,10,25,002d,fl,a,1,1.87,0.81,53.68,14.67,,
PAB04,1,1985,10,25,002d,fl,a,2,0.87,12.01,32.04,16.3,,
PAB04,1,1985,10,25,002d,fl,a,3,2.29,1.06,50.43,20.05,,
PAB04,1,1985,10,25,002d,fl,a,4,3.53,5.8,25.97,13.45,,
PAB04,1,1985,10,25,002d,fl,a,5,0.55,6.51,31.2,36.67,,
PAB04,1,1985,10,25,002d,fl,b,1,1.04,0.29,36.99,13.71,,
PAB04,1,1985,10,25,002d,fl,b,2,1.31,1.08,33.51,13.18,,
PAB04,1,1985,10,25,002d,fl,b,3,1.26,1.73,45.07,24.23,,
PAB04,1,1985,10,25,002d,fl,b,4,1.18,1.01,40.62,11.87,,
PAB04,1,1985,10,25,002d,fl,b,5,0.81,1.88,39.27,17.36,,
PAB04,1,1985,10,25,002d,fl,c,1,0.73,1.03,27.13,23.46,,
PAB04,1,1985,10,25,002d,fl,c,2,2.49,0.4,30.73,11.86,,
PAB04,1,1985,10,25,002d,fl,c,3,3.36,0.47,29.44,16.12,,
PAB04,1,1985,10,25,002d,fl,c,4,1.46,3.21,22.88,15.04,,
PAB04,1,1985,10,25,002d,fl,c,5,0.96,0.87,26.75,13.56,,
PAB04,1,1985,10,25,002d,fl,d,1,1.3,5.26,17.11,22.99,,
PAB04,1,1985,10,25,002d,fl,d,2,1.27,1.87,23.39,19.71,,
PAB04,1,1985,10,25,002d,fl,d,3,0.32,0.78,45.53,41.3,,
PAB04,1,1985,10,25,002d,fl,d,4,0.77,1.79,27.2,18.27,,
PAB04,1,1985,10,25,002d,fl,d,5,2.67,1.52,33.39,10.78,,
PAB04,1,1985,10,8,001c,fl,a,1,9.17,0.85,22.35,,,
PAB04,1,1985,10,8,001c,fl,a,2,12.96,1.36,24.14,,,
PAB04,1,1985,10,8,001c,fl,a,3,10.59,0.27,30.56,,,
PAB04,1,1985,10,8,001c,fl,a,4,8.04,1.99,26.35,,,
PAB04,1,1985,10,8,001c,fl,a,5,10.93,2.58,34.16,,,
PAB04,1,1985,10,8,001c,fl,b,1,17.89,0.48,21.34,,,
PAB04,1,1985,10,8,001c,fl,b,2,6.95,6.14,23.44,,,
PAB04,1,1985,10,8,001c,fl,b,3,6.71,1.57,14.83,,,
PAB04,1,1985,10,8,001c,fl,b,4,10.83,2.35,17.76,,,
PAB04,1,1985,10,8,001c,fl,b,5,13.22,4.26,26.39,,,
PAB04,1,1985,10,8,001c,fl,c,1,11.24,1.64,14.06,,,
PAB04,1,1985,10,8,001c,fl,c,2,17.12,0,19.73,,,
PAB04,1,1985,10,8,001c,fl,c,3,13.47,0.63,26.61,,,
PAB04,1,1985,10,8,001c,fl,c,4,5.66,28.76,16.65,,,
PAB04,1,1985,10,8,001c,fl,c,5,9.39,10.41,24.28,,,
PAB04,1,1985,10,8,001c,fl,d,1,22.5,0.05,27.85,,,
PAB04,1,1985,10,8,001c,fl,d,2,8.12,0.84,14.93,,,
PAB04,1,1985,10,8,001c,fl,d,3,13.24,0.22,18.16,,,
PAB04,1,1985,10,8,001c,fl,d,4,7.26,0,27.67,,,
PAB04,1,1985,10,8,001c,fl,d,5,7.85,0,20.63,,,
PAB04,1,1985,10,8,001c,tu,a,1,24.16,0.05,32.23,,,
PAB04,1,1985,10,8,001c,tu,a,2,21,0.22,40.95,,,
PAB04,1,1985,10,8,001c,tu,a,3,14.01,0.47,32.43,,,
PAB04,1,1985,10,8,001c,tu,a,4,12.41,0,24.7,,,
PAB04,1,1985,10,8,001c,tu,a,5,15.32,1.71,29.86,,,
PAB04,1,1985,10,8,001c,tu,b,1,20.04,0.03,40.28,,,
PAB04,1,1985,10,8,001c,tu,b,2,12.24,0.5,24.28,,,
PAB04,1,1985,10,8,001c,tu,b,3,7.41,0.68,32.55,,,
PAB04,1,1985,10,8,001c,tu,b,4,18.96,0,22.41,,,
PAB04,1,1985,10,8,001c,tu,b,5,16.86,1.36,23.12,,,
PAB04,1,1985,10,8,001c,tu,c,1,18.88,0.75,15.45,,,
PAB04,1,1985,10,8,001c,tu,c,2,12.95,4.02,22.62,,,
PAB04,1,1985,10,8,001c,tu,c,3,15.3,0,23.75,,,
PAB04,1,1985,10,8,001c,tu,c,4,17.01,1.04,32.9,,,
PAB04,1,1985,10,8,001c,tu,c,5,16.21,0,20.18,,,
PAB04,1,1985,10,8,001c,tu,d,1,21.94,0,23.89,,,
PAB04,1,1985,10,8,001c,tu,d,2,10.81,0,24.43,,,
PAB04,1,1985,10,8,001c,tu,d,3,10.93,0.35,26.42,,,
PAB04,1,1985,10,8,001c,tu,d,4,8.13,0.1,25.84,,,
PAB04,1,1985,10,8,001c,tu,d,5,15.46,1.02,33.52,,,
PAB04,1,1985,10,21,n01b,fl,a,1,11.71,2.64,,47.16,,current dead with old
PAB04,1,1985,10,21,n01b,fl,a,2,1.36,14.81,,91.12,,current dead with old
PAB04,1,1985,10,21,n01b,fl,a,3,4.85,8.1,,78.29,,current dead with old
PAB04,1,1985,10,21,n01b,fl,a,4,9.21,11.98,,31.03,,current dead with old
PAB04,1,1985,10,21,n01b,fl,a,5,4.87,7.28,,107.12,,current dead with old
PAB04,1,1985,10,21,n01b,fl,b,1,5,11.96,,41.34,,current dead with old
PAB04,1,1985,10,21,n01b,fl,b,2,7.57,11.26,,61.73,,current dead with old
PAB04,1,1985,10,21,n01b,fl,b,3,10.45,7.9,,63.82,,current dead with old
PAB04,1,1985,10,21,n01b,fl,b,4,1.26,5.01,,99.1,,current dead with old
PAB04,1,1985,10,21,n01b,fl,b,5,20.38,71.12,,60.7,,current dead with old
PAB04,1,1985,10,21,n01b,fl,c,1,3.93,1.58,12.8,82.89,,
PAB04,1,1985,10,21,n01b,fl,c,2,4.95,7.64,13.78,71.95,,
PAB04,1,1985,10,21,n01b,fl,c,3,2.87,8.05,11.18,107.27,,
PAB04,1,1985,10,21,n01b,fl,c,4,12.59,14.43,10.39,79.93,,
PAB04,1,1985,10,21,n01b,fl,c,5,4.23,4.86,7.2,75.43,,
PAB04,1,1985,10,21,n01b,fl,d,1,2.58,13.92,10.58,59.9,,
PAB04,1,1985,10,21,n01b,fl,d,2,0.35,3.04,18.18,84.48,,
PAB04,1,1985,10,21,n01b,fl,d,3,0.76,15.51,12.96,60.51,,
PAB04,1,1985,10,21,n01b,fl,d,4,8.01,22.18,8.46,47.38,,
PAB04,1,1985,10,21,n01b,fl,d,5,6.21,17.31,8.28,61.74,,
PAB04,1,1985,10,22,n01b,tu,a,1,1.39,14.76,2.87,49.91,,
PAB04,1,1985,10,22,n01b,tu,a,2,6.38,16.49,6,82.35,,
PAB04,1,1985,10,22,n01b,tu,a,3,8.49,6.82,4.92,79.01,,
PAB04,1,1985,10,22,n01b,tu,a,4,4.82,16.52,6.73,41.26,,
PAB04,1,1985,10,22,n01b,tu,a,5,8.6,7.33,5.88,65.23,,
PAB04,1,1985,10,22,n01b,tu,b,1,10.45,33.03,,121.74,,current dead with old
PAB04,1,1985,10,22,n01b,tu,b,2,4.25,2.06,,143.95,,current dead with old
PAB04,1,1985,10,22,n01b,tu,b,3,5.6,8.3,,161.52,,current dead with old
PAB04,1,1985,10,22,n01b,tu,b,4,4.1,12.98,,87.06,,current dead with old
PAB04,1,1985,10,22,n01b,tu,b,5,5.49,17.94,,76.88,,current dead with old
PAB04,1,1985,10,22,n01b,tu,c,1,4.02,0.27,36.91,116.81,,
PAB04,1,1985,10,22,n01b,tu,c,2,9.97,5.16,28.27,79.26,,
PAB04,1,1985,10,22,n01b,tu,c,3,6.67,0.48,23.17,75.86,,
PAB04,1,1985,10,22,n01b,tu,c,4,6.42,2.39,10.4,101.2,,
PAB04,1,1985,10,22,n01b,tu,c,5,6.2,0.38,36.97,64.99,,
PAB04,1,1985,10,22,n01b,tu,d,1,8.31,24.83,2,61.25,,
PAB04,1,1985,10,22,n01b,tu,d,2,6.49,2.51,1.9,98.07,,
PAB04,1,1985,10,22,n01b,tu,d,3,11.27,10.01,1.86,57.8,,
PAB04,1,1985,10,22,n01b,tu,d,4,11.83,16.07,3.78,79.21,,
PAB04,1,1985,10,22,n01b,tu,d,5,15.43,11,0.54,51.81,,
PAB04,1,1985,10,25,n04d,fl,a,1,6.98,2.72,8.9,50.67,,
PAB04,1,1985,10,25,n04d,fl,a,2,1.76,3.73,8.16,60.44,,
PAB04,1,1985,10,25,n04d,fl,a,3,2.82,6.98,7.16,42.62,,
PAB04,1,1985,10,25,n04d,fl,a,4,0.22,2.15,7.53,70.36,,
PAB04,1,1985,10,25,n04d,fl,a,5,4.19,3.76,6.04,28.13,,
PAB04,1,1985,10,25,n04d,fl,b,1,0.41,16.4,19.21,64.49,,
PAB04,1,1985,10,25,n04d,fl,b,2,8.49,1,19.33,41.94,,
PAB04,1,1985,10,25,n04d,fl,b,3,0.48,3.47,32.42,67.45,,
PAB04,1,1985,10,25,n04d,fl,b,4,6.06,1.1,10.24,29.66,,
PAB04,1,1985,10,25,n04d,fl,b,5,1.85,4.35,12.77,39.21,,
PAB04,1,1985,10,25,n04d,fl,c,1,2.27,1.4,9.59,45.12,,
PAB04,1,1985,10,25,n04d,fl,c,2,0.54,3.59,18.25,89.64,,
PAB04,1,1985,10,25,n04d,fl,c,3,2.49,4.99,27.74,61.87,,
PAB04,1,1985,10,25,n04d,fl,c,4,3.82,0,33.34,52.3,,
PAB04,1,1985,10,25,n04d,fl,c,5,1.92,1.4,18.46,68.01,,
PAB04,1,1985,10,25,n04d,fl,d,1,1.52,5.36,13.49,65.71,,
PAB04,1,1985,10,25,n04d,fl,d,2,1.73,0.04,1.82,77.67,,
PAB04,1,1985,10,25,n04d,fl,d,3,0.2,6.02,9.72,65.92,,
PAB04,1,1985,10,25,n04d,fl,d,4,4.17,4.15,11.97,38.93,,
PAB04,1,1985,10,25,n04d,fl,d,5,3.83,0.89,9.04,68.05,,
PAB04,1,1985,10,25,n04d,tu,a,1,1.72,6.99,19.17,58.8,,
PAB04,1,1985,10,25,n04d,tu,a,2,21.85,9.36,13.74,53.55,,
PAB04,1,1985,10,25,n04d,tu,a,3,1.13,3.84,20.23,66.33,,
PAB04,1,1985,10,25,n04d,tu,a,4,2.51,36.75,2.36,70.66,,
PAB04,1,1985,10,25,n04d,tu,a,5,1.29,9.02,20.45,60.86,,
PAB04,1,1985,10,25,n04d,tu,b,1,7.83,4.85,9.16,32.31,,
PAB04,1,1985,10,25,n04d,tu,b,2,8.22,3.86,10.58,76.51,,
PAB04,1,1985,10,25,n04d,tu,b,3,4.46,1.68,11.25,41.88,,
PAB04,1,1985,10,25,n04d,tu,b,4,10.22,2.89,17.13,58.36,,
PAB04,1,1985,10,25,n04d,tu,b,5,7.39,1.9,13.06,43.06,,
PAB04,1,1985,10,25,n04d,tu,c,1,10.47,24.69,15.24,31.8,,
PAB04,1,1985,10,25,n04d,tu,c,2,4.8,0.88,7.2,52.39,,
PAB04,1,1985,10,25,n04d,tu,c,3,4.17,6.17,17.8,58.28,,
PAB04,1,1985,10,25,n04d,tu,c,4,3.14,1.97,6.76,43.07,,
PAB04,1,1985,10,25,n04d,tu,c,5,0.96,7.49,20.3,72.05,,
PAB04,1,1985,10,25,n04d,tu,d,1,4.83,2.39,14.2,56.92,,
PAB04,1,1985,10,25,n04d,tu,d,2,10.65,1.13,22.38,40.82,,
PAB04,1,1985,10,25,n04d,tu,d,3,7.25,1.1,16.24,46.33,,
PAB04,1,1985,10,25,n04d,tu,d,4,4.02,2.84,6.38,64.74,,
PAB04,1,1985,10,25,n04d,tu,d,5,8.87,0,14.38,51.78,,
PAB04,1,1985,10,15,n00b,fl,a,1,2.84,9.45,14.69,127.51,,
PAB04,1,1985,10,15,n00b,fl,a,2,1.29,22.19,16.39,72.23,,
PAB04,1,1985,10,15,n00b,fl,a,3,0.69,13.52,10.35,123.7,,
PAB04,1,1985,10,15,n00b,fl,a,4,1.71,19.78,8.91,133.01,,
PAB04,1,1985,10,15,n00b,fl,a,5,3.4,16.42,9.14,101,,
PAB04,1,1985,10,15,n00b,fl,b,1,3.22,1.57,7.64,56.75,,
PAB04,1,1985,10,15,n00b,fl,b,2,5.45,6.31,10.49,64.63,,
PAB04,1,1985,10,15,n00b,fl,b,3,3.27,14.31,14.42,58.32,,
PAB04,1,1985,10,15,n00b,fl,b,4,4.28,14.51,20.17,122.84,,
PAB04,1,1985,10,15,n00b,fl,b,5,2.49,13.11,6.2,45.42,,
PAB04,1,1985,10,15,n00b,fl,c,1,8.8,4.16,15.65,43.12,,
PAB04,1,1985,10,15,n00b,fl,c,2,6.87,2.3,16.37,59.79,,
PAB04,1,1985,10,15,n00b,fl,c,3,2.59,12.11,10.98,29.6,,
PAB04,1,1985,10,15,n00b,fl,c,4,5.67,14.42,23.08,59.35,,
PAB04,1,1985,10,15,n00b,fl,c,5,4.24,4.07,8.47,41.85,,
PAB04,1,1985,10,15,n00b,fl,d,1,1.78,7.09,20.34,51.81,,
PAB04,1,1985,10,15,n00b,fl,d,2,1.36,11.42,13.26,131.62,,
PAB04,1,1985,10,15,n00b,fl,d,3,0.66,18.23,11.87,103.18,,
PAB04,1,1985,10,15,n00b,fl,d,4,0.37,7.68,15.8,43.43,,
PAB04,1,1985,10,15,n00b,fl,d,5,2.04,4.1,4.21,98.75,,
PAB04,1,1985,10,15,n00b,tu,a,1,11.14,5.5,30.3,56.06,,
PAB04,1,1985,10,15,n00b,tu,a,2,4.02,12.64,3.82,72.55,,
PAB04,1,1985,10,15,n00b,tu,a,3,8.76,6.28,14.01,61.45,,
PAB04,1,1985,10,15,n00b,tu,a,4,14.13,2.56,31.12,55.63,,
PAB04,1,1985,10,15,n00b,tu,a,5,4.18,5.1,12.61,77.61,,
PAB04,1,1985,10,15,n00b,tu,b,1,5.25,15.81,21.45,60.95,,
PAB04,1,1985,10,15,n00b,tu,b,2,24.62,18.18,14.21,55.91,,
PAB04,1,1985,10,15,n00b,tu,b,3,0.66,6.4,10.06,86.42,,
