DATACODE,RECTYPE,RECYEAR,RECMONTH,RECDAY,WATERSHED,GRAZE,CAGE,PLOTNUM,LVGRASS,FORBS,CUYRDEAD,PRYRDEAD,WOODY,COMMENT
PEB01,1,1992,8,20,n01a,u,2,9,52.30,0.00,0.00,0.00,0.00,
PEB01,1,1992,8,20,n01a,g,2,1,19.60,1.70,0.00,0.00,0.00,
PEB01,1,1992,8,20,n01a,g,2,2,16.30,8.80,0.00,0.00,0.10,
PEB01,1,1992,8,20,n01a,g,2,3,17.90,15.30,0.00,0.00,0.30,
PEB01,1,1992,8,20,n01a,g,2,4,33.20,7.70,0.00,0.00,0.00,
PEB01,1,1992,8,20,n01a,g,2,5,16.10,34.40,0.00,0.00,6.20,
PEB01,1,1992,8,20,n01a,g,2,6,28.50,4.20,0.00,0.00,0.00,
PEB01,1,1992,8,20,n01a,g,2,7,55.60,3.30,0.00,0.00,0.00,
PEB01,1,1992,8,20,n01a,g,2,8,45.40,6.90,0.00,0.00,0.00,
PEB01,1,1992,8,20,n01a,g,2,9,58.50,3.80,0.00,0.00,0.10,
PEB01,1,1992,8,22,n01a,u,3,1,63.30,0.00,0.00,0.00,0.00,
PEB01,1,1992,8,22,n01a,u,3,2,45.30,6.50,0.00,0.00,0.00,
PEB01,1,1992,8,22,n01a,u,3,3,60.00,0.00,0.00,0.00,0.00,
PEB01,1,1992,8,22,n01a,u,3,4,49.40,0.00,0.00,0.00,0.00,
PEB01,1,1992,8,22,n01a,u,3,5,59.20,5.80,0.00,0.00,0.00,
PEB01,1,1992,8,22,n01a,u,3,6,59.70,1.70,0.00,0.00,0.00,
PEB01,1,1992,8,22,n01a,u,3,7,63.30,1.20,0.00,0.00,0.00,
PEB01,1,1992,8,22,n01a,u,3,8,58.50,4.80,0.00,0.00,0.00,
PEB01,1,1992,8,22,n01a,u,3,9,,,,,,bag missing
PEB01,1,1992,8,29,n01a,g,3,1,21.70,8.00,0.00,0.00,0.00,
PEB01,1,1992,8,29,n01a,g,3,2,32.90,4.40,0.00,0.00,0.00,
PEB01,1,1992,8,29,n01a,g,3,3,23.20,4.00,0.00,0.00,0.00,
PEB01,1,1992,8,29,n01a,g,3,4,28.00,2.10,0.00,0.00,0.00,
PEB01,1,1992,8,29,n01a,g,3,5,34.40,11.00,0.00,0.00,0.00,
PEB01,1,1992,8,29,n01a,g,3,6,49.40,7.40,0.00,0.00,0.00,
PEB01,1,1992,8,29,n01a,g,3,7,41.20,7.60,0.00,0.00,0.00,
PEB01,1,1992,8,29,n01a,g,3,8,38.00,11.90,0.00,0.00,0.00,
PEB01,1,1992,8,29,n01a,g,3,9,21.00,19.80,0.00,0.00,0.00,
PEB01,1,1992,8,28,n01a,u,4,1,55.10,4.60,0.00,0.00,0.00,
PEB01,1,1992,8,28,n01a,u,4,2,46.10,1.40,0.00,0.00,0.10,
PEB01,1,1992,8,28,n01a,u,4,3,50.00,2.90,0.00,0.00,0.00,
PEB01,1,1992,8,28,n01a,u,4,4,49.40,3.80,0.00,0.00,1.30,
PEB01,1,1992,8,28,n01a,u,4,5,65.60,6.30,0.00,0.00,0.00,
PEB01,1,1992,8,28,n01a,u,4,6,46.90,1.70,0.00,0.00,0.30,
PEB01,1,1992,8,28,n01a,u,4,7,47.20,4.80,0.00,0.00,0.30,
PEB01,1,1992,8,28,n01a,u,4,8,52.80,2.90,0.00,0.00,0.00,
PEB01,1,1992,8,28,n01a,u,4,9,55.80,0.80,0.00,0.00,1.60,
PEB01,1,1992,8,28,n01a,g,4,1,61.20,1.20,0.00,0.00,1.20,
PEB01,1,1992,8,28,n01a,g,4,2,36.60,24.20,0.00,0.00,0.00,
PEB01,1,1992,8,28,n01a,g,4,3,23.60,19.40,0.00,0.00,0.00,
PEB01,1,1992,8,28,n01a,g,4,4,22.90,20.10,0.00,0.00,0.00,
PEB01,1,1992,8,28,n01a,g,4,5,42.30,3.90,0.00,0.00,1.10,
PEB01,1,1992,8,28,n01a,g,4,6,49.70,7.20,0.00,0.00,2.10,
PEB01,1,1992,8,28,n01a,g,4,7,44.90,11.70,0.00,0.00,0.00,
PEB01,1,1992,8,28,n01a,g,4,8,40.90,17.20,0.00,0.00,0.00,
PEB01,1,1992,8,28,n01a,g,4,9,38.40,10.20,0.00,0.00,1.30,
PEB01,1,1992,8,21,n01a,u,5,1,37.90,0.00,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,u,5,2,50.40,0.00,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,u,5,3,53.40,0.00,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,u,5,4,44.60,0.00,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,u,5,5,46.60,0.00,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,u,5,6,37.80,0.00,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,u,5,7,44.80,0.00,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,u,5,8,43.40,0.00,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,u,5,9,42.60,0.00,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,g,5,1,34.70,0.90,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,g,5,2,39.00,1.40,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,g,5,3,25.50,2.60,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,g,5,4,64.30,0.30,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,g,5,5,42.80,2.00,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,g,5,6,44.20,1.40,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,g,5,7,36.50,4.80,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,g,5,8,55.70,0.50,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,g,5,9,25.90,3.30,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,u,6,1,55.60,0.00,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,u,6,2,42.70,1.00,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,u,6,3,90.50,0.00,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,u,6,4,47.10,1.90,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,u,6,5,65.10,5.40,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,u,6,6,53.30,5.10,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,u,6,7,44.00,0.00,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,u,6,8,48.10,0.00,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,u,6,9,89.90,1.30,0.00,0.00,2.90,
PEB01,1,1992,8,21,n01a,g,6,1,64.60,0.00,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,g,6,2,57.10,0.40,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,g,6,3,70.80,0.60,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,g,6,4,51.20,0.30,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,g,6,5,86.90,2.50,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,g,6,6,132.50,0.00,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,g,6,7,91.70,0.00,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,g,6,8,55.00,0.00,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,g,6,9,60.50,3.00,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,u,7,1,73.60,0.00,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,u,7,2,61.80,0.00,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,u,7,3,47.50,0.00,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,u,7,4,96.80,1.50,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,u,7,5,66.40,0.00,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,u,7,6,70.70,0.00,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,u,7,7,40.40,0.70,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,u,7,8,58.30,0.00,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,u,7,9,44.90,0.00,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,g,7,1,69.60,4.00,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,g,7,2,66.70,1.00,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,g,7,3,42.00,2.70,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,g,7,4,49.40,1.20,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,g,7,5,47.00,0.50,0.00,0.00,1.60,
PEB01,1,1992,8,21,n01a,g,7,6,81.60,18.90,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,g,7,7,38.00,14.20,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,g,7,8,63.00,3.20,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,g,7,9,59.80,0.90,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,u,8,1,31.20,8.30,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,u,8,2,58.60,0.00,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,u,8,3,25.70,1.50,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,u,8,4,11.20,5.30,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,u,8,5,46.40,2.90,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,u,8,6,13.20,0.00,0.00,0.00,11.60,
PEB01,1,1992,8,21,n01a,u,8,7,54.10,6.50,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,u,8,8,19.40,16.20,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,u,8,9,48.40,2.70,0.00,0.00,1.50,
PEB01,1,1992,8,21,n01a,g,8,1,61.20,0.30,0.00,0.00,0.10,
PEB01,1,1992,8,21,n01a,g,8,2,40.00,0.00,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,g,8,3,34.10,0.30,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,g,8,4,38.40,1.20,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,g,8,5,57.60,3.50,0.00,0.00,0.50,
PEB01,1,1992,8,21,n01a,g,8,6,45.00,1.60,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,g,8,7,60.00,1.30,0.00,0.00,8.10,
PEB01,1,1992,8,21,n01a,g,8,8,55.20,2.80,0.00,0.00,0.00,
PEB01,1,1992,8,21,n01a,g,8,9,42.30,1.40,0.00,0.00,4.40,
PEB01,1,1992,8,22,n04a,u,9,1,54.60,1.90,0.00,0.00,0.00,
PEB01,1,1992,8,22,n04a,u,9,2,75.20,0.00,0.00,0.00,34.50,
PEB01,1,1992,8,22,n04a,u,9,3,46.50,2.60,0.00,0.00,8.90,
PEB01,1,1992,8,22,n04a,u,9,4,77.60,12.40,0.00,0.00,4.10,
PEB01,1,1992,8,22,n04a,u,9,5,81.90,12.00,0.00,0.00,,
PEB01,1,1992,8,22,n04a,u,9,6,49.10,0.00,0.00,0.00,16.90,
PEB01,1,1992,8,22,n04a,u,9,7,56.50,9.20,0.00,0.00,5.60,
PEB01,1,1992,8,22,n04a,u,9,8,76.50,0.00,0.00,0.00,0.00,
PEB01,1,1992,8,22,n04a,u,9,9,45.10,0.00,0.00,0.00,1.70,
PEB01,1,1992,8,22,n04a,g,9,1,39.20,4.80,0.00,0.00,0.00,
PEB01,1,1992,8,22,n04a,g,9,2,47.20,9.70,0.00,0.00,0.00,
PEB01,1,1992,8,22,n04a,g,9,3,42.80,1.60,0.00,0.00,0.00,
PEB01,1,1992,8,22,n04a,g,9,4,45.60,4.90,0.00,0.00,0.00,
PEB01,1,1992,8,22,n04a,g,9,5,34.20,1.20,0.00,0.00,0.00,
PEB01,1,1992,8,22,n04a,g,9,6,29.50,44.90,0.00,0.00,0.10,
PEB01,1,1992,8,22,n04a,g,9,7,41.90,1.70,0.00,0.00,0.00,
PEB01,1,1992,8,22,n04a,g,9,8,53.00,5.80,0.00,0.00,0.20,
PEB01,1,1992,8,22,n04a,g,9,9,39.60,2.40,0.00,0.00,0.00,
PEB01,1,1992,8,22,n04a,u,10,1,53.20,0.00,0.00,0.00,0.00,
PEB01,1,1992,8,22,n04a,u,10,2,61.70,3.30,0.00,0.00,0.00,
PEB01,1,1992,8,22,n04a,u,10,3,53.20,4.30,0.00,0.00,0.00,
PEB01,1,1992,8,22,n04a,u,10,4,93.60,2.20,0.00,0.00,2.50,
PEB01,1,1992,8,22,n04a,u,10,5,73.30,0.00,0.00,0.00,0.00,
PEB01,1,1992,8,22,n04a,u,10,6,40.60,1.80,0.00,0.00,0.00,
PEB01,1,1992,8,22,n04a,u,10,7,48.30,0.00,0.00,0.00,0.00,
PEB01,1,1992,8,22,n04a,u,10,8,38.70,2.80,0.00,0.00,0.00,
PEB01,1,1992,8,22,n04a,u,10,9,52.70,0.60,0.00,0.00,0.00,
PEB01,1,1992,8,22,n04a,g,10,1,50.30,0.80,0.00,0.00,0.00,
PEB01,1,1992,8,22,n04a,g,10,2,48.50,0.00,0.00,0.00,0.00,
PEB01,1,1992,8,22,n04a,g,10,3,54.70,2.30,0.00,0.00,0.00,
PEB01,1,1992,8,22,n04a,g,10,4,37.70,17.60,0.00,0.00,0.00,
PEB01,1,1992,8,22,n04a,g,10,5,32.20,7.10,0.00,0.00,0.00,
PEB01,1,1992,8,22,n04a,g,10,6,45.30,13.20,0.00,0.00,0.00,
PEB01,1,1992,8,22,n04a,g,10,7,27.00,8.80,0.00,0.00,0.00,
PEB01,1,1992,8,22,n04a,g,10,8,44.90,6.80,0.00,0.00,0.00,
PEB01,1,1992,8,22,n04a,g,10,9,50.10,1.60,0.00,0.00,0.00,
PEB01,1,1992,8,22,n04a,u,11,1,67.10,4.80,0.00,0.00,0.00,
PEB01,1,1992,8,22,n04a,u,11,2,65.30,1.50,0.00,0.00,0.00,
PEB01,1,1992,8,22,n04a,u,11,3,73.60,1.50,0.00,0.00,0.00,
PEB01,1,1992,8,22,n04a,u,11,4,47.50,0.70,0.00,0.00,0.00,
PEB01,1,1992,8,22,n04a,u,11,5,32.70,4.60,0.00,0.00,0.00,
PEB01,1,1992,8,22,n04a,u,11,6,60.30,5.90,0.00,0.00,0.00,
PEB01,1,1992,8,22,n04a,u,11,7,35.00,11.30,0.00,0.00,0.00,
PEB01,1,1992,8,22,n04a,u,11,8,45.00,4.10,0.00,0.00,0.00,
PEB01,1,1992,8,22,n04a,u,11,9,43.60,4.00,0.00,0.00,0.00,
PEB01,1,1992,8,22,n04a,g,11,1,46.00,0.50,0.00,0.00,0.00,
PEB01,1,1992,8,22,n04a,g,11,2,35.90,0.80,0.00,0.00,0.70,
PEB01,1,1992,8,22,n04a,g,11,3,47.60,1.90,0.00,0.00,0.00,
PEB01,1,1992,8,22,n04a,g,11,4,83.40,1.80,0.00,0.00,5.80,
PEB01,1,1992,8,22,n04a,g,11,5,61.10,1.70,0.00,0.00,0.00,
PEB01,1,1992,8,22,n04a,g,11,6,69.00,2.10,0.00,0.00,0.00,
PEB01,1,1992,8,22,n04a,g,11,7,52.30,3.80,0.00,0.00,0.00,
PEB01,1,1992,8,22,n04a,g,11,8,46.50,7.20,0.00,0.00,0.00,
PEB01,1,1992,8,22,n04a,g,11,9,31.40,0.50,0.00,0.00,0.00,
PEB01,1,1992,8,22,n04a,u,12,1,38.00,0.10,0.00,0.00,0.00,
PEB01,1,1992,8,22,n04a,u,12,2,42.90,0.50,0.00,0.00,0.00,
PEB01,1,1992,8,22,n04a,u,12,3,59.90,1.40,0.00,0.00,0.10,
PEB01,1,1992,8,22,n04a,u,12,4,73.90,0.60,0.00,0.00,0.00,
PEB01,1,1992,8,22,n04a,u,12,5,83.10,0.10,0.00,0.00,0.10,
PEB01,1,1992,8,22,n04a,u,12,6,62.30,5.80,0.00,0.00,0.00,
PEB01,1,1992,8,22,n04a,u,12,7,89.70,0.80,0.00,0.00,0.00,
PEB01,1,1992,8,22,n04a,u,12,8,25.30,6.60,0.00,0.00,0.00,
PEB01,1,1992,8,22,n04a,u,12,9,43.30,1.90,0.00,0.00,0.00,
PEB01,1,1992,8,22,n04a,g,12,1,54.00,8.00,0.00,0.00,0.00,
PEB01,1,1992,8,22,n04a,g,12,2,56.60,2.10,0.00,0.00,0.00,
PEB01,1,1992,8,22,n04a,g,12,3,36.20,24.40,0.00,0.00,0.00,
PEB01,1,1992,8,22,n04a,g,12,4,43.10,2.10,0.00,0.00,0.00,
PEB01,1,1992,8,22,n04a,g,12,5,33.90,0.00,0.00,0.00,0.00,
PEB01,1,1992,8,22,n04a,g,12,6,33.40,1.10,0.00,0.00,2.80,
PEB01,1,1992,8,22,n04a,g,12,7,52.30,1.60,0.00,0.00,0.00,
PEB01,1,1992,8,22,n04a,g,12,8,52.50,1.00,0.00,0.00,0.00,
PEB01,1,1992,8,22,n04a,g,12,9,52.60,2.40,0.00,0.00,0.00,
PEB01,1,1992,8,23,n04a,u,13,1,45.70,4.80,0.00,0.00,0.00,
PEB01,1,1992,8,23,n04a,u,13,2,51.90,6.10,0.00,0.00,0.00,
PEB01,1,1992,8,23,n04a,u,13,3,83.30,5.10,0.00,0.00,0.00,
PEB01,1,1992,8,23,n04a,u,13,4,22.90,15.00,0.00,0.00,0.00,
PEB01,1,1992,8,23,n04a,u,13,5,31.90,12.30,0.00,0.00,0.00,
PEB01,1,1992,8,23,n04a,u,13,6,37.80,7.90,0.00,0.00,0.00,
PEB01,1,1992,8,23,n04a,u,13,7,36.50,4.00,0.00,0.00,0.00,
PEB01,1,1992,8,23,n04a,u,13,8,56.00,4.30,0.00,0.00,0.00,
PEB01,1,1992,8,23,n04a,u,13,9,39.20,5.40,0.00,0.00,0.00,
PEB01,1,1992,8,23,n04a,g,13,1,41.80,13.70,0.00,0.00,0.00,
PEB01,1,1992,8,23,n04a,g,13,2,17.20,9.20,0.00,0.00,0.00,
PEB01,1,1992,8,23,n04a,g,13,3,30.80,6.40,0.00,0.00,0.00,
PEB01,1,1992,8,23,n04a,g,13,4,32.20,7.20,0.00,0.00,0.00,
PEB01,1,1992,8,23,n04a,g,13,5,42.70,7.30,0.00,0.00,0.00,
PEB01,1,1992,8,23,n04a,g,13,6,30.30,6.30,0.00,0.00,0.00,
PEB01,1,1992,8,23,n04a,g,13,7,37.80,10.40,0.00,0.00,0.00,
PEB01,1,1992,8,23,n04a,g,13,8,26.10,11.50,0.00,0.00,0.00,
PEB01,1,1992,8,23,n04a,g,13,9,36.40,5.20,0.00,0.00,0.00,
PEB01,1,1992,8,23,n04a,u,14,1,29.40,3.80,0.00,0.00,0.00,
PEB01,1,1992,8,23,n04a,u,14,2,21.80,5.10,0.00,0.00,0.00,
PEB01,1,1992,8,23,n04a,u,14,3,19.30,2.90,0.00,0.00,0.00,
PEB01,1,1992,8,23,n04a,u,14,4,40.50,3.10,0.00,0.00,4.40,
PEB01,1,1992,8,23,n04a,u,14,5,33.70,2.10,0.00,0.00,0.00,
PEB01,1,1992,8,23,n04a,u,14,6,30.20,3.60,0.00,0.00,0.00,
PEB01,1,1992,8,23,n04a,u,14,7,57.00,2.90,0.00,0.00,0.00,
PEB01,1,1992,8,23,n04a,u,14,8,23.70,0.80,0.00,0.00,0.00,
PEB01,1,1992,8,23,n04a,u,14,9,32.40,2.30,0.00,0.00,0.00,
PEB01,1,1992,8,23,n04a,g,14,1,44.30,9.20,0.00,0.00,0.00,
PEB01,1,1992,8,23,n04a,g,14,2,14.70,7.20,0.00,0.00,6.90,
PEB01,1,1992,8,23,n04a,g,14,3,23.50,19.00,0.00,0.00,0.00,
PEB01,1,1992,8,23,n04a,g,14,4,47.50,5.60,0.00,0.00,0.00,
PEB01,1,1992,8,23,n04a,g,14,5,44.80,13.90,0.00,0.00,0.00,
PEB01,1,1992,8,23,n04a,g,14,6,29.40,4.80,0.00,0.00,0.00,
PEB01,1,1992,8,23,n04a,g,14,7,44.70,6.90,0.00,0.00,0.00,
PEB01,1,1992,8,23,n04a,g,14,8,33.10,2.50,0.00,0.00,0.00,
PEB01,1,1992,8,23,n04a,g,14,9,24.80,8.60,0.00,0.00,0.00,
PEB01,1,1992,8,25,n04a,u,15,1,37.30,10.50,0.00,0.00,0.00,
PEB01,1,1992,8,25,n04a,u,15,2,50.50,0.00,0.00,0.00,0.00,
PEB01,1,1992,8,25,n04a,u,15,3,42.20,2.60,0.00,0.00,0.00,
PEB01,1,1992,8,25,n04a,u,15,4,40.00,15.60,0.00,0.00,0.00,
PEB01,1,1992,8,25,n04a,u,15,5,29.50,8.40,0.00,0.00,0.00,
PEB01,1,1992,8,25,n04a,u,15,6,48.80,12.20,0.00,0.00,0.00,
PEB01,1,1992,8,25,n04a,u,15,7,38.10,2.50,0.00,0.00,0.00,
PEB01,1,1992,8,25,n04a,u,15,8,41.40,1.80,0.00,0.00,0.00,
PEB01,1,1992,8,25,n04a,u,15,9,51.00,3.10,0.00,0.00,0.00,
PEB01,1,1992,8,25,n04a,g,15,1,41.10,2.60,0.00,0.00,0.00,
PEB01,1,1992,8,25,n04a,g,15,2,55.60,15.50,0.00,0.00,0.00,
PEB01,1,1992,8,25,n04a,g,15,3,33.70,8.40,0.00,0.00,0.10,
PEB01,1,1992,8,25,n04a,g,15,4,32.00,15.90,0.00,0.00,0.00,
PEB01,1,1992,8,25,n04a,g,15,5,35.70,1.10,0.00,0.00,0.10,
PEB01,1,1992,8,25,n04a,g,15,6,57.70,6.10,0.00,0.00,0.20,
PEB01,1,1992,8,25,n04a,g,15,7,45.40,20.60,0.00,0.00,0.90,
PEB01,1,1992,8,25,n04a,g,15,8,31.10,4.90,0.00,0.00,0.20,
PEB01,1,1992,8,25,n04a,g,15,9,34.40,10.90,0.00,0.00,0.00,
PEB01,1,1992,8,25,n04a,u,16,1,81.80,0.00,0.00,0.00,0.00,
PEB01,1,1992,8,25,n04a,u,16,2,53.90,0.00,0.00,0.00,0.00,
PEB01,1,1992,8,25,n04a,u,16,3,75.30,0.00,0.00,0.00,0.00,
PEB01,1,1992,8,25,n04a,u,16,4,57.70,0.00,0.00,0.00,0.00,
PEB01,1,1992,8,25,n04a,u,16,5,74.70,0.00,0.00,0.00,0.00,
PEB01,1,1992,8,25,n04a,u,16,6,85.10,0.00,0.00,0.00,0.00,
PEB01,1,1992,8,25,n04a,u,16,7,120.40,0.00,0.00,0.00,0.00,
PEB01,1,1992,8,25,n04a,u,16,8,55.50,29.10,0.00,0.00,0.00,
PEB01,1,1992,8,25,n04a,u,16,9,54.00,0.00,0.00,0.00,0.00,
PEB01,1,1992,8,25,n04a,g,16,1,65.30,0.40,0.00,0.00,0.00,
PEB01,1,1992,8,25,n04a,g,16,2,81.00,0.00,0.00,0.00,0.00,
PEB01,1,1992,8,25,n04a,g,16,3,59.00,4.20,0.00,0.00,0.00,
PEB01,1,1992,8,25,n04a,g,16,4,44.50,0.60,0.00,0.00,0.00,
PEB01,1,1992,8,25,n04a,g,16,5,80.50,0.00,0.00,0.00,0.00,
PEB01,1,1992,8,25,n04a,g,16,6,41.70,0.00,0.00,0.00,0.00,
PEB01,1,1992,8,25,n04a,g,16,7,61.60,3.80,0.00,0.00,0.00,
PEB01,1,1992,8,25,n04a,g,16,8,36.90,1.30,0.00,0.00,0.00,
PEB01,1,1992,8,25,n04a,g,16,9,64.90,5.90,0.00,0.00,0.00,
PEB01,1,1993,9,2,n01a,g,1,1,51.02,16.40,10.12,0.00,0.00,
PEB01,1,1993,9,2,n01a,g,1,2,46.61,7.28,6.80,0.00,0.00,
PEB01,1,1993,9,2,n01a,g,1,3,31.87,2.17,5.93,0.00,0.00,
PEB01,1,1993,9,2,n01a,g,1,4,29.14,8.09,8.11,0.00,0.00,
PEB01,1,1993,9,2,n01a,g,1,5,43.30,2.39,12.84,0.00,0.00,
PEB01,1,1993,9,2,n01a,g,1,6,28.57,2.72,13.64,0.00,0.00,
PEB01,1,1993,9,2,n01a,g,1,7,31.75,6.08,6.26,0.00,7.84,
PEB01,1,1993,9,2,n01a,g,1,8,34.89,4.02,8.10,0.00,0.00,
PEB01,1,1993,9,2,n01a,g,1,9,34.12,1.09,12.20,0.00,0.00,
PEB01,1,1993,9,2,n01a,g,2,1,15.51,18.59,3.06,0.00,0.00,
PEB01,1,1993,9,2,n01a,g,2,2,33.94,10.93,9.08,0.00,0.00,
PEB01,1,1993,9,2,n01a,g,2,3,29.91,8.92,10.27,0.00,0.00,
PEB01,1,1993,9,2,n01a,g,2,4,33.11,3.83,6.88,0.00,0.00,
PEB01,1,1993,9,2,n01a,g,2,5,12.16,11.53,2.43,0.00,15.54,
PEB01,1,1993,9,2,n01a,g,2,6,27.34,6.66,6.14,0.00,1.77,
PEB01,1,1993,9,2,n01a,g,2,7,16.86,9.34,3.88,0.00,0.00,
PEB01,1,1993,9,2,n01a,g,2,8,14.81,2.00,5.36,0.00,0.00,
PEB01,1,1993,9,2,n01a,g,2,9,15.86,11.78,3.95,0.00,0.00,
