Year,Treatment,Replicate,Station,Source,ANPP g_m2,Disturbed_Microplot,Fertilized_Microplot,meantemp,annualprecip
1992,T7,R4,S5,MCSE (Table 291),413.81,NA,NA,8.501120448,842.44
1992,T7,R5,S1,MCSE (Table 291),232.78,NA,NA,8.501120448,842.44
1992,T7,R5,S2,MCSE (Table 291),241.86,NA,NA,8.501120448,842.44
1992,T7,R5,S3,MCSE (Table 291),318.07,NA,NA,8.501120448,842.44
1992,T7,R5,S5,MCSE (Table 291),399.02,NA,NA,8.501120448,842.44
1992,T7,R1,NA,MCSE Microplot (Table 154),620.3,disturbed,fertilized,8.501120448,842.44
1992,T7,R1,NA,MCSE Microplot (Table 154),257.38,disturbed,unfertilized,8.501120448,842.44
1992,T7,R5,NA,MCSE Microplot (Table 154),208.47,undisturbed,unfertilized,8.501120448,842.44
1992,T7,R5,NA,MCSE Microplot (Table 154),916.87,disturbed,fertilized,8.501120448,842.44
1992,T7,R5,NA,MCSE Microplot (Table 154),576.47,disturbed,unfertilized,8.501120448,842.44
1992,T7,R5,NA,MCSE Microplot (Table 154),285.29,undisturbed,fertilized,8.501120448,842.44
1992,T7,R6,NA,MCSE Microplot (Table 154),186.08,undisturbed,unfertilized,8.501120448,842.44
1992,T7,R6,NA,MCSE Microplot (Table 154),606.17,disturbed,fertilized,8.501120448,842.44
1992,T7,R6,NA,MCSE Microplot (Table 154),317.53,disturbed,unfertilized,8.501120448,842.44
1992,T7,R6,NA,MCSE Microplot (Table 154),356.35,undisturbed,fertilized,8.501120448,842.44
1993,T7,R1,S1,MCSE (Table 291),480.57,NA,NA,7.956438356,806.88
1993,T7,R3,S1,MCSE (Table 291),244.37,NA,NA,7.956438356,806.88
1993,T7,R3,S2,MCSE (Table 291),459.21,NA,NA,7.956438356,806.88
1993,T7,R3,S3,MCSE (Table 291),318.52,NA,NA,7.956438356,806.88
1993,T7,R3,S4,MCSE (Table 291),471.15,NA,NA,7.956438356,806.88
1993,T7,R3,S5,MCSE (Table 291),532.55,NA,NA,7.956438356,806.88
1993,T7,R1,S2,MCSE (Table 291),166.28,NA,NA,7.956438356,806.88
1993,T7,R1,S3,MCSE (Table 291),314.86,NA,NA,7.956438356,806.88
1993,T7,R1,S4,MCSE (Table 291),108.79,NA,NA,7.956438356,806.88
1993,T7,R1,S5,MCSE (Table 291),224.71,NA,NA,7.956438356,806.88
1993,T7,R2,S1,MCSE (Table 291),527.88,NA,NA,7.956438356,806.88
1993,T7,R2,S3,MCSE (Table 291),550.15,NA,NA,7.956438356,806.88
1993,T7,R2,S4,MCSE (Table 291),637.01,NA,NA,7.956438356,806.88
1993,T7,R2,S5,MCSE (Table 291),332.53,NA,NA,7.956438356,806.88
1993,T7,R1,NA,MCSE Microplot (Table 154),533.12,disturbed,fertilized,7.956438356,806.88
1993,T7,R1,NA,MCSE Microplot (Table 154),225.62,disturbed,unfertilized,7.956438356,806.88
1993,T7,R1,NA,MCSE Microplot (Table 154),960.43,undisturbed,fertilized,7.956438356,806.88
1993,T7,R1,NA,MCSE Microplot (Table 154),229.08,undisturbed,unfertilized,7.956438356,806.88
1993,T7,R2,NA,MCSE Microplot (Table 154),902.71,disturbed,fertilized,7.956438356,806.88
1993,T7,R2,NA,MCSE Microplot (Table 154),754.64,disturbed,unfertilized,7.956438356,806.88
1993,T7,R2,NA,MCSE Microplot (Table 154),141.3,undisturbed,fertilized,7.956438356,806.88
1993,T7,R2,NA,MCSE Microplot (Table 154),1074.59,undisturbed,unfertilized,7.956438356,806.88
1993,T7,R3,NA,MCSE Microplot (Table 154),562.46,disturbed,fertilized,7.956438356,806.88
1993,T7,R3,NA,MCSE Microplot (Table 154),85.24,disturbed,unfertilized,7.956438356,806.88
1993,T7,R3,NA,MCSE Microplot (Table 154),947.08,undisturbed,fertilized,7.956438356,806.88
1993,T7,R3,NA,MCSE Microplot (Table 154),251.62,undisturbed,unfertilized,7.956438356,806.88
1993,T7,R4,NA,MCSE Microplot (Table 154),752.61,disturbed,fertilized,7.956438356,806.88
1993,T7,R4,NA,MCSE Microplot (Table 154),419.4,disturbed,unfertilized,7.956438356,806.88
1993,T7,R4,NA,MCSE Microplot (Table 154),1067.33,undisturbed,fertilized,7.956438356,806.88
1993,T7,R4,NA,MCSE Microplot (Table 154),155.34,undisturbed,unfertilized,7.956438356,806.88
1993,T7,R5,NA,MCSE Microplot (Table 154),672.168,disturbed,fertilized,7.956438356,806.88
1993,T7,R5,NA,MCSE Microplot (Table 154),923.158,disturbed,unfertilized,7.956438356,806.88
1993,T7,R5,NA,MCSE Microplot (Table 154),423.57,undisturbed,fertilized,7.956438356,806.88
1993,T7,R5,NA,MCSE Microplot (Table 154),333.72,undisturbed,unfertilized,7.956438356,806.88
1993,T7,R6,NA,MCSE Microplot (Table 154),528.38,undisturbed,fertilized,7.956438356,806.88
1993,T7,R6,NA,MCSE Microplot (Table 154),278.56,undisturbed,unfertilized,7.956438356,806.88
1993,T7,R4,S3,MCSE (Table 291),259.99,NA,NA,7.956438356,806.88
1993,T7,R4,S4,MCSE (Table 291),414.5,NA,NA,7.956438356,806.88
1993,T7,R4,S5,MCSE (Table 291),661.68,NA,NA,7.956438356,806.88
1993,T7,R5,S1,MCSE (Table 291),462.99,NA,NA,7.956438356,806.88
1993,T7,R5,S2,MCSE (Table 291),609.72,NA,NA,7.956438356,806.88
1993,T7,R5,S3,MCSE (Table 291),657.92,NA,NA,7.956438356,806.88
1993,T7,R5,S4,MCSE (Table 291),478.54,NA,NA,7.956438356,806.88
1993,T7,R5,S5,MCSE (Table 291),461.08,NA,NA,7.956438356,806.88
1993,T7,R6,S1,MCSE (Table 291),1330.72,NA,NA,7.956438356,806.88
1993,T7,R6,S2,MCSE (Table 291),203.9,NA,NA,7.956438356,806.88
1993,T7,R6,S3,MCSE (Table 291),190.97,NA,NA,7.956438356,806.88
1993,T7,R4,S1,MCSE (Table 291),518.38,NA,NA,7.956438356,806.88
1993,T7,R4,S2,MCSE (Table 291),365.56,NA,NA,7.956438356,806.88
1993,T7,R6,S5,MCSE (Table 291),456.08,NA,NA,7.956438356,806.88
1993,T7,R6,S4,MCSE (Table 291),556.72,NA,NA,7.956438356,806.88
1994,T7,R1,NA,MCSE Microplot (Table 154),233.97,disturbed,unfertilized,8.458082192,918.4
1994,T7,R1,NA,MCSE Microplot (Table 154),859.42,undisturbed,fertilized,8.458082192,918.4
1994,T7,R1,NA,MCSE Microplot (Table 154),239.75,undisturbed,unfertilized,8.458082192,918.4
1994,T7,R1,NA,MCSE Microplot (Table 154),478.86,disturbed,fertilized,8.458082192,918.4
1994,T7,R2,NA,MCSE Microplot (Table 154),594.23,disturbed,unfertilized,8.458082192,918.4
1994,T7,R2,NA,MCSE Microplot (Table 154),1025.29,undisturbed,fertilized,8.458082192,918.4
1994,T7,R2,NA,MCSE Microplot (Table 154),888.59,undisturbed,unfertilized,8.458082192,918.4
1994,T7,R2,NA,MCSE Microplot (Table 154),843.58,disturbed,fertilized,8.458082192,918.4
1994,T7,R6,NA,MCSE Microplot (Table 154),741.19,undisturbed,fertilized,8.458082192,918.4
1994,T7,R6,NA,MCSE Microplot (Table 154),319.23,undisturbed,unfertilized,8.458082192,918.4
1994,T7,R3,NA,MCSE Microplot (Table 154),1440.06,undisturbed,fertilized,8.458082192,918.4
1994,T7,R3,NA,MCSE Microplot (Table 154),375.13,undisturbed,unfertilized,8.458082192,918.4
1994,T7,R4,NA,MCSE Microplot (Table 154),786.87,disturbed,fertilized,8.458082192,918.4
1994,T7,R4,NA,MCSE Microplot (Table 154),376.34,disturbed,unfertilized,8.458082192,918.4
1994,T7,R4,NA,MCSE Microplot (Table 154),635.92,undisturbed,fertilized,8.458082192,918.4
1994,T7,R4,NA,MCSE Microplot (Table 154),240.93,undisturbed,unfertilized,8.458082192,918.4
1994,T7,R5,NA,MCSE Microplot (Table 154),507.76,disturbed,fertilized,8.458082192,918.4
1994,T7,R5,NA,MCSE Microplot (Table 154),1145.84,disturbed,unfertilized,8.458082192,918.4
1994,T7,R5,NA,MCSE Microplot (Table 154),998.91,undisturbed,fertilized,8.458082192,918.4
1994,T7,R5,NA,MCSE Microplot (Table 154),401.71,undisturbed,unfertilized,8.458082192,918.4
1994,T7,R6,NA,MCSE Microplot (Table 154),786.42,disturbed,fertilized,8.458082192,918.4
1994,T7,R3,NA,MCSE Microplot (Table 154),488.65,disturbed,fertilized,8.458082192,918.4
1994,T7,R3,NA,MCSE Microplot (Table 154),430.84,disturbed,unfertilized,8.458082192,918.4
1994,T7,R6,NA,MCSE Microplot (Table 154),385.58,disturbed,unfertilized,8.458082192,918.4
1995,T7,R1,NA,MCSE Microplot (Table 154),693.34,disturbed,fertilized,8.428493151,762.56
1995,T7,R1,NA,MCSE Microplot (Table 154),271.12,disturbed,unfertilized,8.428493151,762.56
1995,T7,R1,NA,MCSE Microplot (Table 154),547.69,undisturbed,fertilized,8.428493151,762.56
1995,T7,R2,NA,MCSE Microplot (Table 154),687.19,disturbed,fertilized,8.428493151,762.56
1995,T7,R2,NA,MCSE Microplot (Table 154),493.3,disturbed,unfertilized,8.428493151,762.56
1995,T7,R2,NA,MCSE Microplot (Table 154),236.38,undisturbed,fertilized,8.428493151,762.56
1995,T7,R1,NA,MCSE Microplot (Table 154),257.81,undisturbed,unfertilized,8.428493151,762.56
1995,T7,R3,NA,MCSE Microplot (Table 154),852.02,disturbed,fertilized,8.428493151,762.56
1995,T7,R3,NA,MCSE Microplot (Table 154),503.2,disturbed,unfertilized,8.428493151,762.56
1995,T7,R3,NA,MCSE Microplot (Table 154),1208.62,undisturbed,fertilized,8.428493151,762.56
1995,T7,R2,NA,MCSE Microplot (Table 154),508.09,undisturbed,unfertilized,8.428493151,762.56
1995,T7,R4,NA,MCSE Microplot (Table 154),393.37,disturbed,fertilized,8.428493151,762.56
1995,T7,R4,NA,MCSE Microplot (Table 154),336,disturbed,unfertilized,8.428493151,762.56
1995,T7,R4,NA,MCSE Microplot (Table 154),342.46,undisturbed,fertilized,8.428493151,762.56
1995,T7,R4,NA,MCSE Microplot (Table 154),225.61,undisturbed,unfertilized,8.428493151,762.56
1995,T7,R5,NA,MCSE Microplot (Table 154),917.34,disturbed,fertilized,8.428493151,762.56
1995,T7,R5,NA,MCSE Microplot (Table 154),610,disturbed,unfertilized,8.428493151,762.56
1995,T7,R5,NA,MCSE Microplot (Table 154),918.64,undisturbed,fertilized,8.428493151,762.56
1995,T7,R5,NA,MCSE Microplot (Table 154),506.37,undisturbed,unfertilized,8.428493151,762.56
1995,T7,R6,NA,MCSE Microplot (Table 154),466,disturbed,fertilized,8.428493151,762.56
1995,T7,R6,NA,MCSE Microplot (Table 154),449.49,disturbed,unfertilized,8.428493151,762.56
1995,T7,R6,NA,MCSE Microplot (Table 154),463.66,undisturbed,fertilized,8.428493151,762.56
1995,T7,R6,NA,MCSE Microplot (Table 154),376.38,undisturbed,unfertilized,8.428493151,762.56
1995,T7,R3,NA,MCSE Microplot (Table 154),413.85,undisturbed,unfertilized,8.428493151,762.56
1996,T7,R6,S2,MCSE (Table 291),433.98,NA,NA,7.702185792,693.65
1996,T7,R6,S3,MCSE (Table 291),208.76,NA,NA,7.702185792,693.65
1996,T7,R5,S4,MCSE (Table 291),490.78,NA,NA,7.702185792,693.65
1996,T7,R2,S4,MCSE (Table 291),438.53,NA,NA,7.702185792,693.65
1996,T7,R3,S2,MCSE (Table 291),332.68,NA,NA,7.702185792,693.65
1996,T7,R6,S4,MCSE (Table 291),404.35,NA,NA,7.702185792,693.65
1996,T7,R2,S3,MCSE (Table 291),374.44,NA,NA,7.702185792,693.65
1996,T7,R1,NA,MCSE Microplot (Table 154),180.17,disturbed,unfertilized,7.702185792,693.65
1996,T7,R1,NA,MCSE Microplot (Table 154),822.52,undisturbed,fertilized,7.702185792,693.65
1996,T7,R3,S3,MCSE (Table 291),276.99,NA,NA,7.702185792,693.65
1996,T7,R1,NA,MCSE Microplot (Table 154),288.08,disturbed,fertilized,7.702185792,693.65
1996,T7,R1,S2,MCSE (Table 291),272.41,NA,NA,7.702185792,693.65
1996,T7,R1,S3,MCSE (Table 291),402.24,NA,NA,7.702185792,693.65
1996,T7,R1,S4,MCSE (Table 291),481.94,NA,NA,7.702185792,693.65
1996,T7,R2,S2,MCSE (Table 291),246.69,NA,NA,7.702185792,693.65
1996,T7,R2,NA,MCSE Microplot (Table 154),1345.1,undisturbed,unfertilized,7.702185792,693.65
1996,T7,R3,NA,MCSE Microplot (Table 154),444.34,disturbed,fertilized,7.702185792,693.65
1996,T7,R3,NA,MCSE Microplot (Table 154),335.6,disturbed,unfertilized,7.702185792,693.65
1996,T7,R3,NA,MCSE Microplot (Table 154),1266.96,undisturbed,fertilized,7.702185792,693.65
1996,T7,R3,S4,MCSE (Table 291),278.74,NA,NA,7.702185792,693.65
1996,T7,R4,S2,MCSE (Table 291),720.73,NA,NA,7.702185792,693.65
1996,T7,R4,S3,MCSE (Table 291),204.95,NA,NA,7.702185792,693.65
1996,T7,R4,S4,MCSE (Table 291),292.54,NA,NA,7.702185792,693.65
1996,T7,R5,S2,MCSE (Table 291),198.9,NA,NA,7.702185792,693.65
1996,T7,R5,S3,MCSE (Table 291),56.33,NA,NA,7.702185792,693.65
1996,T7,R2,NA,MCSE Microplot (Table 154),824.31,disturbed,fertilized,7.702185792,693.65
1996,T7,R2,NA,MCSE Microplot (Table 154),350.68,disturbed,unfertilized,7.702185792,693.65
1996,T7,R2,NA,MCSE Microplot (Table 154),1155.72,undisturbed,fertilized,7.702185792,693.65
1996,T7,R6,NA,MCSE Microplot (Table 154),521.55,disturbed,fertilized,7.702185792,693.65
1996,T7,R6,NA,MCSE Microplot (Table 154),268.48,disturbed,unfertilized,7.702185792,693.65
1996,T7,R6,NA,MCSE Microplot (Table 154),1384.79,undisturbed,fertilized,7.702185792,693.65
1996,T7,R6,NA,MCSE Microplot (Table 154),618.36,undisturbed,unfertilized,7.702185792,693.65
1996,T7,R3,NA,MCSE Microplot (Table 154),826.69,undisturbed,unfertilized,7.702185792,693.65
1996,T7,R4,NA,MCSE Microplot (Table 154),148.84,disturbed,fertilized,7.702185792,693.65
1996,T7,R4,NA,MCSE Microplot (Table 154),148.7,disturbed,unfertilized,7.702185792,693.65
1996,T7,R4,NA,MCSE Microplot (Table 154),1201.67,undisturbed,fertilized,7.702185792,693.65
1996,T7,R4,NA,MCSE Microplot (Table 154),594.16,undisturbed,unfertilized,7.702185792,693.65
1996,T7,R1,NA,MCSE Microplot (Table 154),579.7,undisturbed,unfertilized,7.702185792,693.65
1996,T7,R5,NA,MCSE Microplot (Table 154),380.65,disturbed,unfertilized,7.702185792,693.65
1996,T7,R5,NA,MCSE Microplot (Table 154),1228.29,undisturbed,fertilized,7.702185792,693.65
1996,T7,R5,NA,MCSE Microplot (Table 154),769.8,undisturbed,unfertilized,7.702185792,693.65
1996,T7,R5,NA,MCSE Microplot (Table 154),643.14,disturbed,fertilized,7.702185792,693.65
1997,T7,R1,S1,MCSE (Table 291),607.42,NA,NA,8.042383562,775.7438
1997,T7,R1,S3,MCSE (Table 291),599.04,NA,NA,8.042383562,775.7438
1997,T7,R1,S4,MCSE (Table 291),687.88,NA,NA,8.042383562,775.7438
1997,T7,R5,NA,MCSE Microplot (Table 154),739.79,disturbed,unfertilized,8.042383562,775.7438
1997,T7,R1,S2,MCSE (Table 291),305.47,NA,NA,8.042383562,775.7438
1997,T7,R2,S1,MCSE (Table 291),996.14,NA,NA,8.042383562,775.7438
1997,T7,R2,S2,MCSE (Table 291),580.46,NA,NA,8.042383562,775.7438
1997,T7,R2,S3,MCSE (Table 291),395.37,NA,NA,8.042383562,775.7438
1997,T7,R1,S5,MCSE (Table 291),410.13,NA,NA,8.042383562,775.7438
1997,T7,R2,NA,MCSE Microplot (Table 154),660.43,undisturbed,unfertilized,8.042383562,775.7438
